user_id,primary_org_id
564,4
565,5
566,6
567,7
568,8
569,9
570,10
571,11
572,12
573,13
574,14
575,15
576,16
577,1
578,2
579,3
580,4
581,5
582,6
583,7
584,8
585,9
586,10
587,11
588,12
589,13
590,14
591,15
592,16
593,1
594,2
595,3
596,4
597,5
598,6
599,7
600,8
601,9
602,10
603,11
604,12
605,13
606,14
607,15
608,16
609,1
610,2
611,3
612,4
613,5
614,6
615,7
616,8
617,9
618,10
619,11
620,12
621,13
622,14
623,15
624,16
625,1
626,2
627,3
628,4
629,5
630,6
631,7
632,8
633,9
634,10
635,11
636,12
637,13
638,14
639,15
640,16
641,1
642,2
643,3
644,4
645,5
646,6
647,7
648,8
649,9
650,10
651,11
652,12
653,13
654,14
655,15
656,16
657,1
658,2
659,3
660,4
661,5
662,6
663,7
664,8
665,9
666,10
667,11
668,12
669,13
670,14
671,15
672,16
673,1
674,2
675,3
676,4
677,5
678,6
679,7
680,8
681,9
682,10
683,11
684,12
685,13
686,14
687,15
688,16
689,1
690,2
691,3
692,4
693,5
694,6
695,7
696,8
697,9
698,10
699,11
700,12
701,13
702,14
703,15
704,16
705,1
706,2
707,3
708,4
709,5
710,6
711,7
712,8
713,9
714,10
715,11
716,12
717,13
718,14
719,15
720,16
721,1
722,2
723,3
724,4
725,5
726,6
727,7
728,8
729,9
730,10
731,11
732,12
733,13
734,14
735,15
736,16
737,1
738,2
739,3
740,4
741,5
742,6
743,7
744,8
745,9
746,10
747,11
748,12
749,13
750,14
751,15
752,16
753,1
754,2
755,3
756,4
757,5
758,6
759,7
760,8
761,9
762,10
763,11
764,12
765,13
766,14
767,15
768,16
769,1
770,2
771,3
772,4
773,5
774,6
775,7
776,8
777,9
778,10
779,11
780,12
781,13
782,14
783,15
784,16
785,1
786,2
787,3
788,4
789,5
790,6
791,7
792,8
793,9
794,10
795,11
796,12
797,13
798,14
799,15
800,16
801,1
802,2
803,3
804,4
805,5
806,6
807,7
808,8
809,9
810,10
811,11
812,12
813,13
814,14
815,15
816,16
817,1
818,2
819,3
820,4
821,5
822,6
823,7
824,8
825,9
826,10
827,11
828,12
829,13
830,14
831,15
832,16
833,1
834,2
835,3
836,4
837,5
838,6
839,7
840,8
841,9
842,10
843,11
844,12
845,13
846,14
847,15
848,16
849,1
850,2
851,3
852,4
853,5
854,6
855,7
856,8
857,9
858,10
859,11
860,12
861,13
862,14
863,15
864,16
865,1
866,2
867,3
868,4
869,5
870,6
871,7
872,8
873,9
874,10
875,11
876,12
877,13
878,14
879,15
880,16
881,1
882,2
883,3
884,4
885,5
886,6
887,7
888,8
889,9
890,10
891,11
892,12
893,13
894,14
895,15
896,16
897,1
898,2
899,3
900,4
901,5
902,6
903,7
904,8
905,9
906,10
907,11
908,12
909,13
910,14
911,15
912,16
913,1
914,2
915,3
916,4
917,5
918,6
919,7
920,8
921,9
922,10
923,11
924,12
925,13
926,14
927,15
928,16
929,1
930,2
931,3
932,4
933,5
934,6
935,7
936,8
937,9
938,10
939,11
940,12
941,13
942,14
943,15
944,16
945,1
946,2
947,3
948,4
949,5
950,6
951,7
952,8
953,9
954,10
955,11
956,12
957,13
958,14
959,15
960,16
961,1
962,2
963,3
964,4
965,5
966,6
967,7
968,8
969,9
970,10
971,11
972,12
973,13
974,14
975,15
976,16
977,1
978,2
979,3
980,4
981,5
982,6
983,7
984,8
985,9
986,10
987,11
988,12
989,13
990,14
991,15
992,16
993,1
994,2
995,3
996,4
997,5
998,6
999,7
1000,8
1001,9
1002,10
1003,11
1004,12
1005,13
1006,14
1007,15
1008,16
1009,1
1010,2
1011,3
1012,4
1013,5
1014,6
1015,7
1016,8
1017,9
1018,10
1019,11
1020,12
1021,13
1022,14
1023,15
1024,16
1025,1
1026,2
1027,3
1028,4
1029,5
1030,6
1031,7
1032,8
1033,9
1034,10
1035,11
1036,12
1037,13
1038,14
1039,15
1040,16
1041,1
1042,2
1043,3
1044,4
1045,5
1046,6
1047,7
1048,8
1049,9
1050,10
1051,11
1052,12
1053,13
1054,14
1055,15
1056,16
1057,1
1058,2
1059,3
1060,4
1061,5
1062,6
1063,7
1064,8
1065,9
1066,10
1067,11
1068,12
1069,13
1070,14
1071,15
1072,16
1073,1
1074,2
1075,3
1076,4
1077,5
1078,6
1079,7
1080,8
1081,9
1082,10
1083,11
1084,12
1085,13
1086,14
1087,15
1088,16
1089,1
1090,2
1091,3
1092,4
1093,5
1094,6
1095,7
1096,8
1097,9
1098,10
1099,11
1100,12
1101,13
1102,14
1103,15
1104,16
1105,1
1106,2
1107,3
1108,4
1109,5
1110,6
1111,7
1112,8
1113,9
1114,10
1115,11
1116,12
1117,13
1118,14
1119,15
1120,16
1121,1
1122,2
1123,3
1124,4
1125,5
1126,6
1127,7
1128,8
1129,9
1130,10
1131,11
1132,12
1133,13
1134,14
1135,15
1136,16
1137,1
1138,2
1139,3
1140,4
1141,5
1142,6
1143,7
1144,8
1145,9
1146,10
1147,11
1148,12
1149,13
1150,14
1151,15
1152,16
1153,1
1154,2
1155,3
1156,4
1157,5
1158,6
1159,7
1160,8
1161,9
1162,10
1163,11
1164,12
1165,13
1166,14
1167,15
1168,16
1169,1
1170,2
1171,3
1172,4
1173,5
1174,6
1175,7
1176,8
1177,9
1178,10
1179,11
1180,12
1181,13
1182,14
1183,15
1184,16
1185,1
1186,2
1187,3
1188,4
1189,5
1190,6
1191,7
1192,8
1193,9
1194,10
1195,11
1196,12
1197,13
1198,14
1199,15
1200,16
1201,1
1202,2
1203,3
1204,4
1205,5
1206,6
1207,7
1208,8
1209,9
1210,10
1211,11
1212,12
1213,13
1214,14
1215,15
1216,16
1217,1
1218,2
1219,3
1220,4
